stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\chava\Documents\GitHub\proyecto1ED\proyecto1ED\proyecto1\x64\Debug\allegro5.cfg r
display  D   display_settings.c:529  _al_score_display_settings       [   0.10305] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.10317] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10331] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.10378] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10402] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.10416] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10427] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.10483] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10502] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.10513] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10530] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.10540] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10553] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.10562] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10572] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.10584] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10593] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.10603] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10615] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.10624] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10632] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.10640] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10652] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.10661] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10673] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.10682] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10692] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.10703] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10712] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.10723] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10734] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.10746] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10758] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.10768] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10780] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.10790] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10802] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.10811] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10824] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.10836] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10848] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.10859] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10871] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10882] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10894] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10904] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10917] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10928] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10942] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10957] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10971] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10984] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10997] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11014] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11024] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11044] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11055] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11065] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11076] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11086] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11099] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11109] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11120] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11133] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11144] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11154] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11165] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11175] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11185] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11195] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11205] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11215] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11226] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11239] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11252] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11262] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11271] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11279] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11289] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11299] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11307] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11316] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11327] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11340] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11351] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11361] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11372] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11381] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11390] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11402] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11418] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11431] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11443] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11453] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11465] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11475] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11486] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11495] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11505] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11516] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11527] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11539] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11551] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11561] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11571] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11589] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11599] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11608] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11619] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11627] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11639] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11647] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11658] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11668] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11676] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11684] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11693] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11702] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11710] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11719] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11731] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11741] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11751] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11759] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11770] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11779] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11789] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11802] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11815] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11825] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11837] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11846] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11858] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11869] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11889] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11899] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12042] Single Buffer requirement not met.
