stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\chava\Documents\Projects\C++\TestingProjectBackgroud\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.11837] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11846] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.11855] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11865] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.11874] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11883] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.11892] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11903] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11912] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11924] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11933] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11959] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12045] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12062] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12077] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12092] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12220] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12255] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12284] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12297] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.12307] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12322] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.12336] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12401] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.12416] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12427] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12437] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12448] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12461] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12479] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12489] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12502] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12519] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12532] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12545] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12558] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12568] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12584] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.12598] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12610] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.12621] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12659] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.12686] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12697] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12705] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12718] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12743] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12756] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.12767] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12781] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.12793] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12806] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.12817] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12831] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.12845] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12861] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.12875] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12921] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.12939] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.12952] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.12962] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12974] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.12984] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.12999] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13010] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13033] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13048] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13069] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13098] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13112] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13124] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13194] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13211] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13224] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.13235] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13246] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.13255] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13265] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.13273] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13283] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13296] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13307] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13316] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13325] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13337] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13347] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13358] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13369] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13379] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13389] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13400] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13411] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.13426] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13441] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.13458] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13470] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.13481] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13495] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13506] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13528] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13539] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13549] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13559] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13569] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13579] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13589] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13598] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13612] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13630] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13642] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13656] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13670] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13680] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13689] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13697] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13707] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13719] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13730] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13744] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13786] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13813] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13825] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13835] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13845] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13855] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13865] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13873] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13884] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13892] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13902] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13912] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13923] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13934] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13947] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13957] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13968] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13982] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14000] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14017] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14041] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14068] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14082] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14109] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14139] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14151] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14163] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14174] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14189] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14199] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14210] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14220] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14261] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14309] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14330] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14346] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14380] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14404] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14562] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14597] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14618] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14630] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14638] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14646] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14655] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14666] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14678] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14687] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14736] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14747] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14760] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14770] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14787] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14858] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14881] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14891] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14902] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14911] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14924] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14941] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14976] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14996] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15008] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15022] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15037] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15052] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15063] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15072] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15081] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15090] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15102] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15113] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15123] Single Buffer requirement not met.
